sentid,pairid,type,comparison,sentence
0,0,SAE,expected,"Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.
"
1,0,AAE,unexpected,"Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-
"
1,1,SAE,expected,"The little girl is not going to win because i am the king, soshe needs to stop what she is doing
"
2,1,AAE,unexpected,"this lil girl aint going to win im the king of thisshe better fall back ....
"
2,2,SAE,expected,"He is upstairs rights now and I'm down here getting ready. It’s aboutto go down. Nite nite.
"
3,2,AAE,unexpected,"He up stairs rights now and I'm down here getting ready its aboutto go down nite nite
"
3,3,SAE,expected,"Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out
"
4,3,AAE,unexpected,"Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND
"
4,4,SAE,expected,"It is very rare that I get what I want, but now that is has happened, I do not plan onlosing it, no matter the cost
"
5,4,AAE,unexpected,"It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what
"
5,5,SAE,expected,"A quick shout out to Nestboy Vick as he is good at rapping. Keep releasingthe track as I want them
"
6,5,AAE,unexpected,"Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em
"
6,6,SAE,expected,"Miami Heat Player Lebron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. Whereas Boston Celtics Player Kevin Garnett had 24 points, 11 rebounds, 4 assists,2 steals, and 3 blocks
"
7,6,AAE,unexpected,"Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3
"
7,7,SAE,expected,"You can say anything you want to, I don't care, noone else can have you
"
8,7,AAE,unexpected,"Boy you can say anything you wanna I don't give a shit, noone else can have ya
"
8,8,SAE,expected,"At 3:05, when the bell rings, I'm saying bye to my significant other and running out of PSM. By 3:45, I should be homeThen it's time to part
"
9,8,AAE,unexpected,"3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at housethen it's turn up time!
"
9,9,SAE,expected,"When you call a person's phone and they don't answer that means they never cared about it.Cared about it
"
10,9,AAE,unexpected,"Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it
"
10,10,SAE,expected,"I do not want to see twerking videos on my timeline because thesepeople do not know how to twerk
"
11,10,AAE,unexpected,"I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun
"
11,11,SAE,expected,"That was supposed to be a tweet but, that was funny.   I don't know how the hell I done thatto you, my bad, it was funny though
"
12,11,AAE,unexpected,"that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol
"
12,12,SAE,expected,"This group of five-year-olds just tried to holler at me! That’s funny. When I told them how oldI was, they scattered. I’m laughing!
"
13,12,AAE,unexpected,"This group of 5 year olds just tried to holla at me! Lol when I told them how oldI was they scattered lol
"
13,13,SAE,expected,"Does anyone else have a TV that makes every movie look very fake? These TV’s are made too well. Mine is like that.
"
14,13,AAE,unexpected,"Anybody else got one of those TV's where every movie looks super fake? They made these TV's toogood"" mine is like that
"
14,14,SAE,expected,"Who made Amy's dress for the finale, the red one at the end. Please, tell me.the end. Please, tell me
"
15,14,AAE,unexpected,"who made amy dress for the finale the red one atthe end please tell me
"
15,15,SAE,expected,"Old people are gross. This friend has just kissed a stripperlike she was his wife
"
16,15,AAE,unexpected,"Old niggas are foul . This nigga just kiss a stripperlike it was his wife
"
16,16,SAE,expected,"That kid is GOOD. I saw him versus NYR. I’ll tell you, as a Ranger fan I’m not too excited about seeing himfor the next ten years.
"
17,16,AAE,unexpected,"That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing himfor the next 10 years.
"
17,17,SAE,expected,"My only wish is that my friend Keith was here to kill things. I have been down and depressedabout everything lately
"
18,17,AAE,unexpected,"My onli wish my nigga keith was here to kill shyt I been on some fuckthe world shyt lately nbs
"
18,18,SAE,expected,"I just want to fuck your best friend for one night only, and when I fuck your best friend, youbetter not fuck my friend
"
19,18,AAE,unexpected,"I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE
"
19,19,SAE,expected,"There is nothing as pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou 
"
20,19,AAE,unexpected,"There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou S
"
20,20,SAE,expected,"I am single and ready to mingle, but at the same time I am also ready to settle down
"
21,20,AAE,unexpected,"I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down
"
21,21,SAE,expected,"I know I do but I am finally going to sleep. I am too tired, I have been up since 8 this morning with no sleep or nap.morning with no sleep or nap
"
22,21,AAE,unexpected,"I know I do but I'm finna go to sleep I'm too tired I been up since 8 thisMornin no sleep or nap
"
22,22,SAE,expected,"I have not been to sleep at all. And I'm not going until my Quat comes later on.my quat comes later on
"
23,22,AAE,unexpected,"I Have Not Been Ta Sleep At All. And I'm Not Going TillMy Quat Kum Later On.
"
23,23,SAE,expected,"There are too many people who are not loyal! I need someone who is loyal on my team
"
24,23,AAE,unexpected,"Too Many Unloyal People & Not Enough Loyal People ! I NeedSomeone Loyal On My Team!
"
24,24,SAE,expected,"Let us give a round of applause to the ladies and gentlemen that are not as tough in personcompared to their personalities on Twitter
"
25,24,AAE,unexpected,"Lets GIVE A ROUD OF APPLAUSE TO THE NIGGAHS AND BITCHES THAT'S REALLY SOFT INPERSON BUT HARD ON TWITTER.
"
25,25,SAE,expected,"I often get jealous, mad, worried, and curious, but the only reason is because I love you so much and I do not want to loseyou, more or less
"
26,25,AAE,unexpected,"I Get Jealous, I Get Mad, I Get Worried, I Get Curious.But That's Only Because I Love You So Much And I Don't Wanna Lose You Nan More Nan Less
"
26,26,SAE,expected,"When Kobe gets the ball, he needs to make one move and go. Don't want for the defense tomake his shot more difficult
"
27,26,AAE,unexpected,"When Kobe gets the ball, he gotta make one move and go. Dont wait for the defense to make his shot more difficult.
"
27,27,SAE,expected,"I really think my kids forgot I had an account. Yes, I'm creeping and not a happy mother.and not a happy mother
"
28,27,AAE,unexpected,"I really think my kids forgot I had an account. Yep I'm creeping& not a happy Momma!!!!!!
"
28,28,SAE,expected,"I just rounded off the last of my kids’ birthdays until June! I'm proud and grateful to God. I don't have much, but wekeep it happy no matter what.
"
29,28,AAE,unexpected,"Just rounded off the last of my kids bdays, until June!! I'm proud and grateful to God. A don't have much, but wekeep it happy, no matter.
"
29,29,SAE,expected,"Alright, please allow me to get dressed up for the Miguel Album, and please continue to talk about everyone you are notgoing to do while I am gone
"
30,29,AAE,unexpected,"Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all notgone do while I'm gone
"
30,30,SAE,expected,"After \""Boyz n the Hood\"" came on, I wonder how many guys tried shedding some tears and being dramatic to get a girlto have sex with them
"
31,30,AAE,unexpected,"After boyz in tha hood came out, I wonder how many niggas tried shedding some tears and being dramatic to get a girlto give up the goods
"
31,31,SAE,expected,"Yes, there is also this black female doctor you need to visit. When i remember Her name, i will send it to you.
"
32,31,AAE,unexpected,"yes theres also this black female Dr you need to check out.. when i rememberher name ill link you
"
32,32,SAE,expected,"So he posted a status that said \""lonely\"" and a modeljust messaged him
"
33,32,AAE,unexpected,"so he put a status that says lonely up and a modelhoe just hit him up...
"
33,33,SAE,expected,"The Travel Channel is blowing my mind right now with all of these American fast food delicacies that haveturned up in Asia.
"
