SAE,AAVE
"Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.
","Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-
"
"The little girl is not going to win because i am the king, soshe needs to stop what she is doing
","this lil girl aint going to win im the king of thisshe better fall back ....
"
"He is upstairs rights now and I'm down here getting ready. It’s aboutto go down. Nite nite.
","He up stairs rights now and I'm down here getting ready its aboutto go down nite nite
"
"Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out
","Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND
"
"It is very rare that I get what I want, but now that is has happened, I do not plan onlosing it, no matter the cost
","It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what
"
"A quick shout out to Nestboy Vick as he is good at rapping. Keep releasingthe track as I want them
","Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em
"
"Miami Heat Player Lebron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. Whereas Boston Celtics Player Kevin Garnett had 24 points, 11 rebounds, 4 assists,2 steals, and 3 blocks
","Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3
"
"You can say anything you want to, I don't care, noone else can have you
","Boy you can say anything you wanna I don't give a shit, noone else can have ya
"
"At 3:05, when the bell rings, I'm saying bye to my significant other and running out of PSM. By 3:45, I should be homeThen it's time to part
","3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at housethen it's turn up time!
"
"When you call a person's phone and they don't answer that means they never cared about it.Cared about it
","Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it
"
"I do not want to see twerking videos on my timeline because thesepeople do not know how to twerk
","I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun
"
"That was supposed to be a tweet but, that was funny.   I don't know how the hell I done thatto you, my bad, it was funny though
","that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol
"
"This group of five-year-olds just tried to holler at me! That’s funny. When I told them how oldI was, they scattered. I’m laughing!
","This group of 5 year olds just tried to holla at me! Lol when I told them how oldI was they scattered lol
"
"Does anyone else have a TV that makes every movie look very fake? These TV’s are made too well. Mine is like that.
","Anybody else got one of those TV's where every movie looks super fake? They made these TV's toogood"" mine is like that
"
"Who made Amy's dress for the finale, the red one at the end. Please, tell me.the end. Please, tell me
","who made amy dress for the finale the red one atthe end please tell me
"
"Old people are gross. This friend has just kissed a stripperlike she was his wife
","Old niggas are foul . This nigga just kiss a stripperlike it was his wife
"
"That kid is GOOD. I saw him versus NYR. I’ll tell you, as a Ranger fan I’m not too excited about seeing himfor the next ten years.
","That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing himfor the next 10 years.
"
"My only wish is that my friend Keith was here to kill things. I have been down and depressedabout everything lately
","My onli wish my nigga keith was here to kill shyt I been on some fuckthe world shyt lately nbs
"
"I just want to fuck your best friend for one night only, and when I fuck your best friend, youbetter not fuck my friend
","I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE
"
"There is nothing as pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou 
","There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou S
"
"I am single and ready to mingle, but at the same time I am also ready to settle down
","I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down
"
"I know I do but I am finally going to sleep. I am too tired, I have been up since 8 this morning with no sleep or nap.morning with no sleep or nap
","I know I do but I'm finna go to sleep I'm too tired I been up since 8 thisMornin no sleep or nap
"
"I have not been to sleep at all. And I'm not going until my Quat comes later on.my quat comes later on
","I Have Not Been Ta Sleep At All. And I'm Not Going TillMy Quat Kum Later On.
"
"There are too many people who are not loyal! I need someone who is loyal on my team
","Too Many Unloyal People & Not Enough Loyal People ! I NeedSomeone Loyal On My Team!
"
"Let us give a round of applause to the ladies and gentlemen that are not as tough in personcompared to their personalities on Twitter
","Lets GIVE A ROUD OF APPLAUSE TO THE NIGGAHS AND BITCHES THAT'S REALLY SOFT INPERSON BUT HARD ON TWITTER.
"
"I often get jealous, mad, worried, and curious, but the only reason is because I love you so much and I do not want to loseyou, more or less
","I Get Jealous, I Get Mad, I Get Worried, I Get Curious.But That's Only Because I Love You So Much And I Don't Wanna Lose You Nan More Nan Less
"
"When Kobe gets the ball, he needs to make one move and go. Don't want for the defense tomake his shot more difficult
","When Kobe gets the ball, he gotta make one move and go. Dont wait for the defense to make his shot more difficult.
"
"I really think my kids forgot I had an account. Yes, I'm creeping and not a happy mother.and not a happy mother
","I really think my kids forgot I had an account. Yep I'm creeping& not a happy Momma!!!!!!
"
"I just rounded off the last of my kids’ birthdays until June! I'm proud and grateful to God. I don't have much, but wekeep it happy no matter what.
","Just rounded off the last of my kids bdays, until June!! I'm proud and grateful to God. A don't have much, but wekeep it happy, no matter.
"
"Alright, please allow me to get dressed up for the Miguel Album, and please continue to talk about everyone you are notgoing to do while I am gone
","Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all notgone do while I'm gone
"
"After \""Boyz n the Hood\"" came on, I wonder how many guys tried shedding some tears and being dramatic to get a girlto have sex with them
","After boyz in tha hood came out, I wonder how many niggas tried shedding some tears and being dramatic to get a girlto give up the goods
"
